江西IPTV,#genre#
河北卫视高清,http://192.168.0.1:4022/udp/239.252.220.154:5140
吉林卫视高清,http://192.168.0.1:4022/udp/239.252.220.188:5140
贵州卫视高清,http://192.168.0.1:4022/udp/239.252.220.190:5140
河南卫视高清,http://192.168.0.1:4022/udp/239.252.220.189:5140
西藏卫视,http://192.168.0.1:4022/udp/239.252.219.106:5140
宁夏卫视,http://192.168.0.1:4022/udp/239.252.219.104:5140
山西卫视,http://192.168.0.1:4022/udp/239.252.219.27:5140
青海卫视,http://192.168.0.1:4022/udp/239.252.219.46:5140
陕西卫视,http://192.168.0.1:4022/udp/239.252.219.105:5140
内蒙古卫视,http://192.168.0.1:4022/udp/239.252.219.48:5140
新疆卫视,http://192.168.0.1:4022/udp/239.252.219.100:5140
兵团卫视,http://192.168.0.1:4022/udp/239.252.219.107:5140
山东教育,http://192.168.0.1:4022/udp/239.252.219.74:5140
厦门卫视,http://192.168.0.1:4022/udp/239.252.219.75:5140
上海纪实高清,http://192.168.0.1:4022/udp/239.252.219.227:5140
金鹰纪实高清,http://192.168.0.1:4022/udp/239.252.220.155:5140
东方财经高清,http://192.168.0.1:4022/udp/239.252.219.57:5140
其它IPTV,#genre#
茶频道高清,http://192.168.0.1:4022/udp/239.252.220.160:5140
快乐垂钓高清,http://192.168.0.1:4022/udp/239.252.220.177:5140
先锋乒羽,http://192.168.0.1:4022/udp/239.252.219.184:5140
炫动卡通,http://192.168.0.1:4022/udp/239.252.219.43:5140
金鹰卡通,http://192.168.0.1:4022/udp/239.252.219.69:5140
卡酷卡通,http://192.168.0.1:4022/udp/239.252.219.109:5140
嘉佳卡通,http://192.168.0.1:4022/udp/239.252.219.92:5140
风云音乐,http://192.168.0.1:4022/udp/239.252.219.87:5140
第一剧场,http://192.168.0.1:4022/udp/239.252.219.86:5140
风云剧场,http://192.168.0.1:4022/udp/239.252.219.89:5140
怀旧剧场,http://192.168.0.1:4022/udp/239.252.219.90:5140
女性时尚,http://192.168.0.1:4022/udp/239.252.219.94:5140
央视网球,http://192.168.0.1:4022/udp/239.252.219.95:5140
风云足球,http://192.168.0.1:4022/udp/239.252.219.96:5140
电视指南,http://192.168.0.1:4022/udp/239.252.219.97:5140
世界地理,http://192.168.0.1:4022/udp/239.252.219.93:5140
兵器科技,http://192.168.0.1:4022/udp/239.252.219.98:5140
CHC高清电影,http://192.168.0.1:4022/udp/239.252.219.83:5140
CHC家庭影院,http://192.168.0.1:4022/udp/239.252.219.84:5140
CHC动作电影,http://192.168.0.1:4022/udp/239.252.219.85:5140
欢笑剧场,http://192.168.0.1:4022/udp/239.252.219.224:5140
都市剧场,http://192.168.0.1:4022/udp/239.252.219.225:5140
精彩影视,http://192.168.0.1:4022/udp/239.252.220.223:5140
梨园频道,http://192.168.0.1:4022/udp/239.252.220.179:5140
武术世界,http://192.168.0.1:4022/udp/239.252.220.180:5140
文物宝库,http://192.168.0.1:4022/udp/239.252.220.158:5140
求索记录,http://192.168.0.1:4022/udp/239.252.220.224:5140
BesTV青春动漫,http://192.168.0.1:4022/udp/239.252.220.122:5140
BesTV百变课堂,http://192.168.0.1:4022/udp/239.252.220.123:5140
BesTV热门剧场,http://192.168.0.1:4022/udp/239.252.220.124:5140
BesTV谍战剧场,http://192.168.0.1:4022/udp/239.252.220.125:5140
BesTV华语影院,http://192.168.0.1:4022/udp/239.252.220.126:5140
BesTV星光影院,http://192.168.0.1:4022/udp/239.252.220.127:5140
BesTV全球大片,http://192.168.0.1:4022/udp/239.252.220.128:5140
BesTV健康养生,http://192.168.0.1:4022/udp/239.252.220.129:5140
宝宝动画,http://192.168.0.1:4022/udp/239.252.220.121:5140
央广购物,http://192.168.0.1:4022/udp/239.252.220.147:5140
家家购物,http://192.168.0.1:4022/udp/239.252.220.148:5140
优购物,http://192.168.0.1:4022/udp/239.252.219.47:5140
家有购物,http://192.168.0.1:4022/udp/239.252.219.68:5140
全纪实,http://192.168.0.1:4022/udp/239.252.219.55:5140
法治天地,http://192.168.0.1:4022/udp/239.252.219.56:5140
生活时尚,http://192.168.0.1:4022/udp/239.252.219.54:5140
金色频道,http://192.168.0.1:4022/udp/239.252.219.63:5140
国学,http://192.168.0.1:4022/udp/239.252.220.157:5140
七彩戏剧,http://192.168.0.1:4022/udp/239.252.219.102:5140
动漫秀场,http://192.168.0.1:4022/udp/239.252.219.59:5140
游戏风云,http://192.168.0.1:4022/udp/239.252.219.60:5140
极速汽车,http://192.168.0.1:4022/udp/239.252.219.62:5140
4K影视,http://192.168.0.1:4022/udp/239.252.220.131:5140
老故事,http://192.168.0.1:4022/udp/239.252.220.172:5140
中学生,http://192.168.0.1:4022/udp/239.252.220.174:5140
